date,wiki_open,sheepb_open,open_absolute_relative_difference,wiki_high,sheepb_high,high_absolute_relative_difference,wiki_low,sheepb_low,low_absolute_relative_difference,wiki_close,sheepb_close,close_absolute_relative_difference,wiki_volume,sheepb_volume,volume_absolute_relative_difference
2017-08-11,221.42,221.4199981689453,8.269599338639466e-09,223.41,223.41000366210935,1.6391877410981692e-08,220.77,220.77000427246097,1.935254312357415e-08,222.64,222.63999938964844,2.741428084540587e-09,548404.0,548400.0,7.293892823501125e-06
2017-08-14,224.67,224.6699981689453,8.149974028981433e-09,226.39,226.38999938964844,2.6960181864765786e-09,221.04,221.0399932861328,3.0373991988241755e-08,222.41,222.41000366210935,1.6465578678293014e-08,759222.0,759200.0,2.8977031750976323e-05
2017-08-15,223.0,223.0,0.0,228.12,228.1199951171875,2.140457877608526e-08,221.04,221.0399932861328,3.0373991988241755e-08,226.45,226.4499969482422,1.3476519344912674e-08,898310.0,899400.0,0.0012133895871135891
2017-08-16,227.11,227.11000061035156,2.687471134521502e-09,230.45,230.4499969482422,1.3242602792118419e-08,226.51,226.5099945068359,2.4251309405087795e-08,228.62,228.6199951171875,2.135776622225194e-08,555963.0,557500.0,0.002764572462556014
2017-08-17,227.97,227.97000122070312,5.35466559981046e-09,229.5,229.5,0.0,222.845,222.8500061035156,2.2464509033648383e-05,223.02,223.02000427246097,1.9157299524508176e-08,509669.0,513300.0,0.00712423160914244
2017-08-18,222.56,222.55999755859375,1.0969654296033582e-08,223.74,223.7400054931641,2.455155123648467e-08,221.04,221.0399932861328,3.0373991988241755e-08,221.27,221.27000427246097,1.930881254885719e-08,392882.0,392900.0,4.581528296032644e-05
2017-08-21,221.08,221.0800018310547,8.28231705440885e-09,222.37,222.3699951171875,2.1958054152726447e-08,220.3216,220.32000732421875,7.228868078468231e-06,221.15,221.1499938964844,2.7598985319343683e-08,461586.0,462600.0,0.0021967737323056458
2017-08-22,222.0,222.0,0.0,224.239,224.2400054931641,4.484024474171733e-06,221.63,221.6300048828125,2.2031369839581316e-08,222.88,222.8800048828125,2.1907809122367894e-08,440495.0,440500.0,1.1350866638615287e-05
2017-08-23,221.68,221.67999267578125,3.303960105505155e-08,222.26,222.2599945068359,2.471503679490894e-08,219.05,219.0500030517578,1.3931786391196965e-08,220.83,220.8300018310547,8.291693553985624e-09,554398.0,554400.0,3.6075166216509302e-06
2017-08-24,221.38,221.3800048828125,2.2056249493473956e-08,225.0,225.0,0.0,221.38,221.3800048828125,2.2056249493473956e-08,222.9,222.8999938964844,2.7382304201850616e-08,331436.0,331400.0,0.00010861825510810608
2017-08-25,223.34,223.33999633789065,1.6397015079050448e-08,224.5,224.5,0.0,221.415,221.4199981689453,2.2573759435040586e-05,222.02,222.02000427246097,1.9243586057982043e-08,394660.0,394700.0,0.00010135306339642547
