ticker,member_rebalance_count,first_missing_member_date,last_missing_member_date,maximum_coverage_gain_pp,candidate_cache,candidate_exists,identity_status,candidate_first_date,candidate_last_date,candidate_cache_sha256,candidate_rows,candidate_adjusted_flag,available_member_dates,candidate_coverage_gain_pp
PDCO,157,2005-10-18,2018-03-13,0.1160598939096547,,,,,,,,,,
FLIR,155,2009-01-22,2021-04-19,0.11411499721224473,,,,,,,,,,
FTR,154,2005-01-03,2017-03-01,0.11402366131986481,,,,,,,,,,
LLTC,154,2005-01-03,2017-03-01,0.11402366131986481,,,,,,,,,,
STJ,152,2005-01-03,2016-12-30,0.11256514871102331,,,,,,,,,,
DISCA,153,2010-03-04,2022-03-30,0.11252613805199708,WBD,True,NOT_YET_VALIDATED,2005-07-08,2026-09-04,f457e57248fcfb8c8f027aaaf5a34a93817c9402d725e693b9e74c32607ecb13,5324.0,True,153.0,0.11252613805199708
CERN,153,2010-04-30,2022-05-26,0.11251146570372765,,,,,,,,,,
CHK,152,2006-03-14,2018-03-13,0.11234458934569194,,,,,,,,,,
JEC,152,2007-11-12,2019-11-11,0.11209037740638403,J,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,5d0890a4e52520d1201a5bb487aee5b6af00ef2aefd6068219930428c180ea72,5713.0,True,152.0,0.11209037740638403
WYND,149,2006-08-04,2018-05-09,0.1100907911895747,,,,,,,,,,
TSS,148,2008-01-10,2019-09-16,0.10914405234777914,,,,,,,,,,
WFM,147,2006-01-13,2017-08-21,0.10872471952073018,,,,,,,,,,
HCP,146,2008-04-08,2019-10-14,0.10764736626511458,DOC,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,8525531cea42bec27c2cf2916a39dbfb3ddb94770dcd9468d8b36c89a9bcb8a1,5713.0,True,146.0,0.10764736626511458
GAS,145,2005-01-03,2016-06-13,0.10745602236440822,,,,,,,,,,
CCE,144,2005-01-03,2016-05-13,0.10672532198809753,,,,,,,,,,
BRCM,140,2005-01-03,2016-01-20,0.10380540862663463,,,,,,,,,,
HAR,140,2006-02-13,2017-03-01,0.10360671954121392,,,,,,,,,,
ALTR,139,2005-01-03,2015-12-18,0.10307470825032394,,,,,,,,,,
SIAL,137,2005-01-03,2015-10-22,0.10160603539309646,,,,,,,,,,
HSP,135,2005-01-03,2015-08-26,0.10013882390189606,,,,,,,,,,
PLL,135,2005-01-03,2015-08-26,0.10013882390189606,,,,,,,,,,
HRS,135,2008-09-26,2019-05-22,0.09954207324132544,LHX,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,de2d66c91d5d21274cab583882a1fd69787b673d2107f210ceb0b28d99673d8b,5713.0,True,135.0,0.09954207324132544
LM,134,2006-05-10,2016-12-01,0.09919156416897641,,,,,,,,,,
FDO,133,2005-01-03,2015-06-30,0.09866280914174846,,,,,,,,,,
MWV,133,2005-01-03,2015-06-30,0.09866280914174846,,,,,,,,,,
AVP,129,2005-01-03,2015-03-06,0.0957093006487477,,,,,,,,,,
SWY,127,2005-01-03,2015-01-07,0.09423032794318897,,,,,,,,,,
SRCL,127,2008-11-21,2018-11-27,0.09367592845319259,,,,,,,,,,
HOLX,126,2016-04-15,2026-03-26,0.09217160904006155,,,,,,,,,,
RHT,125,2009-08-12,2019-06-20,0.0921295142629333,,,,,,,,,,
RDC,122,2005-01-03,2014-08-14,0.09053289617929217,,,,,,,,,,
SNI,122,2008-07-02,2018-02-12,0.09008393060451039,,,,,,,,,,
FRX,120,2005-01-03,2014-06-18,0.08905243856137848,,,,,,,,,,
IGT,120,2005-01-03,2014-06-18,0.08905243856137848,,,,,,,,,,
X,120,2005-01-03,2014-06-18,0.08905243856137848,,,,,,,,,,
LSI,118,2005-01-03,2014-04-22,0.0875704960311098,,,,,,,,,,
NLSN,116,2013-08-02,2022-09-21,0.08501385579081466,,,,,,,,,,
