Date,Open,High,Low,Close,Adj Close,Volume,Name,Company Name,date,cash_dividend,canonical_factor,vendor_adjustment_factor
2019-12-24,51.77000045776367,51.869998931884766,51.36000061035156,51.619998931884766,48.71192932128906,253300.0,HFC,HollyFrontier,2019-12-24,0.0,1.0432427318983442,0.9436638963431004
2019-12-26,51.709999084472656,51.95000076293945,51.31999969482422,51.5099983215332,48.608123779296875,712000.0,HFC,HollyFrontier,2019-12-26,0.0,1.0432427318983442,0.9436638587304471
2019-12-27,51.540000915527344,51.630001068115234,50.959999084472656,50.97999954223633,48.10799026489258,930600.0,HFC,HollyFrontier,2019-12-27,0.0,1.0432427318983442,0.943663999546247
2019-12-30,50.939998626708984,51.119998931884766,49.66999816894531,49.83000183105469,47.02276992797851,811200.0,HFC,HollyFrontier,2019-12-30,0.0,1.0432427318983442,0.9436638209929449
2019-12-31,49.75,50.86000061035156,49.65999984741211,50.709999084472656,47.85319519042969,1246200.0,HFC,HollyFrontier,2019-12-31,0.0,1.0432427318983442,0.9436638937956968
2020-01-02,51.09000015258789,51.4900016784668,50.900001525878906,51.38999938964844,48.4948844909668,1268900.0,HFC,HollyFrontier,2020-01-02,0.0,1.0432427318983442,0.9436638464085133
2020-01-03,51.099998474121094,51.75,47.65999984741211,48.18000030517578,45.465721130371094,3178400.0,HFC,HollyFrontier,2020-01-03,0.0,1.0432427318983442,0.9436637783808169
2020-01-06,47.849998474121094,48.25,47.040000915527344,48.0,45.295867919921875,2523400.0,HFC,HollyFrontier,2020-01-06,0.0,1.0432427318983442,0.9436639149983724
2020-01-07,47.150001525878906,48.47999954223633,47.150001525878906,48.349998474121094,45.62614822387695,1475400.0,HFC,HollyFrontier,2020-01-07,0.0,1.0432427318983442,0.943663902043305
2020-01-08,48.34000015258789,48.349998474121094,46.869998931884766,47.709999084472656,45.02220916748047,1842800.0,HFC,HollyFrontier,2020-01-08,0.0,1.0432427318983442,0.9436640123963671
2020-01-09,47.68000030517578,48.380001068115234,47.150001525878906,48.15999984741211,45.44685363769531,1300300.0,HFC,HollyFrontier,2020-01-09,0.0,1.0432427318983442,0.9436639074270556
2020-01-10,48.22999954223633,48.880001068115234,48.11000061035156,48.689998626708984,45.946990966796875,1150800.0,HFC,HollyFrontier,2020-01-10,0.0,1.0432427318983442,0.943663837804928
2020-01-13,48.689998626708984,48.95000076293945,48.02000045776367,48.33000183105469,45.607276916503906,842800.0,HFC,HollyFrontier,2020-01-13,0.0,1.0432427318983442,0.9436638772729927
2020-01-14,48.13999938964844,48.63999938964844,47.66999816894531,48.52000045776367,45.78657531738281,1287400.0,HFC,HollyFrontier,2020-01-14,0.0,1.0432427318983442,0.9436639506473152
2020-01-15,48.029998779296875,48.15999984741211,46.459999084472656,46.63999938964844,44.01248550415039,1564300.0,HFC,HollyFrontier,2020-01-15,0.0,1.0432427318983442,0.9436639382529406
2020-01-16,46.93000030517578,47.38999938964844,46.540000915527344,46.93000030517578,44.2861442565918,1635500.0,HFC,HollyFrontier,2020-01-16,0.0,1.0432427318983442,0.9436638390924451
2020-01-17,46.93000030517578,47.310001373291016,46.5099983215332,46.91999816894531,44.276710510253906,1345800.0,HFC,HollyFrontier,2020-01-17,0.0,1.0432427318983442,0.9436639436946759
2020-01-21,46.59000015258789,47.130001068115234,46.150001525878906,46.84000015258789,44.20122146606445,1564500.0,HFC,HollyFrontier,2020-01-21,0.0,1.0432427318983442,0.9436639906505712
2020-01-22,46.849998474121094,47.630001068115234,46.02000045776367,46.5,43.880367279052734,1669100.0,HFC,HollyFrontier,2020-01-22,0.0,1.0432427318983442,0.943663812452747
